id,age,sex,marits,canton,region,nationality,mother_tongue,educ,insured_earn,lastj_occpt,lastj_fct,lastj_rate,child_subsidies,unempl_r,gdp_gr,treat,date_start,date_end,contr_2y
421,20.333334,Male,Unmarried,SZ,Central Switzerland,Swiss,German,Apprenticeship or matura,1408,sales,Specialist role,100,0,2.4000001,-1.18426,0,29aug2011,30dec2011,13
421,24.333334,Male,Unmarried,SZ,Central Switzerland,Swiss,German,Apprenticeship or matura,2445.7717,sales,Specialist role,80.165779,0,2.2,1.87919,0,22aug2015,18feb2016,12
430,60,Male,Married,UR,Central Switzerland,Swiss,French,Specialized,9860.8486,social occupations,Specialist role,87.974518,0,1,2.3784001,6,21feb2015,07dec2015,17
430,56.666668,Male,Married,UR,Central Switzerland,Swiss,French,Specialized,10007,social occupations,Specialist role,100,0,1.2,3.71275,0,01oct2011,03aug2012,18
437,32.833332,Male,Unmarried,VD,Lake Geneva,Swiss,French,Specialized,4713,education,Specialist role,100,0,4.4000001,1.8381799,0,25apr2011,19dec2011,1
437,37.166668,Male,Unmarried,VD,Lake Geneva,Swiss,French,Specialized,3829.5723,education,Specialist role,100,0,3.9000001,1.27924,0,13aug2015,15may2016,0
440,50,Male,Unmarried,GR,Oriental Switzerland,Swiss,German,Apprenticeship or matura,6049.7188,"production (blue collar, incl cars)",Specialist role,76.254974,0,1.6,.00288,2,06jul2015,17feb2016,16
440,46.333332,Male,Unmarried,GR,Oriental Switzerland,Swiss,German,Apprenticeship or matura,5895,"production (blue collar, incl cars)",Specialist role,100,0,1.5,2.2160599,0,10nov2011,13jul2012,16
448,28.583334,Male,Unmarried,BE,Mittelland,Swiss,Other,Apprenticeship or matura,5168.2241,sales,Specialist role,98.627594,0,3.5,.48105001,0,10may2015,30aug2015,14
448,24.333334,Male,Unmarried,BE,Mittelland,Swiss,Other,Apprenticeship or matura,4054,sales,Specialist role,100,0,2,1.24907,0,15feb2011,29apr2011,14
454,54.583332,Male,Married,VS,Lake Geneva,Swiss,German,Specialized,7618,sales,Managerial role,100,0,3.2,.0086500002,0,01oct2011,29feb2012,14
454,58.416668,Male,Married,VS,Lake Geneva,Swiss,German,Specialized,9342.7002,sales,Managerial role,100,0,4.5,3.0939901,3,14aug2015,13jan2016,13
458,21.5,Male,Unmarried,SZ,Central Switzerland,Swiss,German,Apprenticeship or matura,1378,others (skilled),Studying or other,100,0,2.4000001,-1.18426,0,20jan2011,31mar2011,8
458,25.666666,Male,Unmarried,SZ,Central Switzerland,Swiss,German,Apprenticeship or matura,0,others (skilled),Studying or other,100,0,2.2,1.87919,0,30mar2015,16jun2015,8
469,45.916668,Male,Unmarried,VD,Lake Geneva,Swiss,Other,School,3845,food & agriculture,,100,0,4.4000001,1.8381799,0,02may2011,15jun2011,17
469,50.333332,Male,Unmarried,VD,Lake Geneva,Swiss,Other,School,5521.0879,food & agriculture,,84.893326,0,3.9000001,1.27924,1,09oct2015,16feb2016,17
471,39.25,Male,Married,BS,North-Western Switzerland,Swiss,Other,Apprenticeship or matura,3900,gastronomy,Specialist role,100,0,3.7,4.2624898,0,16sep2011,03nov2011,22
471,43,Male,Married,BS,North-Western Switzerland,Swiss,Other,Apprenticeship or matura,4410.5342,gastronomy,Specialist role,100,0,2.5,1.86443,0,01jun2015,08aug2015,22
484,54.833332,Male,Married,BL,North-Western Switzerland,Swiss,Other,Apprenticeship or matura,4409,cleaning & pers service,Specialist role,60,0,2.7,1.57066,0,02may2011,28feb2013,16
484,59.25,Male,Married,BL,North-Western Switzerland,Swiss,Other,Apprenticeship or matura,3705.4116,cleaning & pers service,Specialist role,56.801373,1,2.3,1.1521699,1,02oct2015,15feb2017,14
491,41.75,Male,Married,ZG,Central Switzerland,Swiss,Other,Apprenticeship or matura,6649.8296,construction,Specialist role,99.307495,0,2.0999999,1.32221,0,23dec2015,19jun2016,0
509,37.583332,Male,Unmarried,VD,Lake Geneva,Swiss,French,Apprenticeship or matura,2977.8042,social occupations,,86.628311,0,3.9000001,1.27924,0,17oct2015,09feb2016,15
509,32.916668,Male,Unmarried,VD,Lake Geneva,Swiss,French,Apprenticeship or matura,3437,social occupations,,80.029999,0,4.4000001,1.8381799,0,01feb2011,01may2011,16
512,42.833332,Male,Married,AG,North-Western Switzerland,Swiss,English,School,6468.2964,"tourism,transport,communication",,100,0,1.8,1.26635,0,30sep2015,31may2016,14
512,38.166668,Male,Married,AG,North-Western Switzerland,Swiss,English,School,4673,"tourism,transport,communication",,95,1,2.5999999,.75863999,0,17jan2011,31aug2011,15
514,26.75,Male,Unmarried,ZG,Central Switzerland,Swiss,Other,School,4604,gastronomy,,100,0,1.9,-.89851999,0,07jul2011,01sep2011,17
514,31.083334,Male,Unmarried,ZG,Central Switzerland,Swiss,Other,School,4107.9971,gastronomy,,98.252144,0,2.0999999,1.32221,0,05nov2015,07feb2016,17
532,25.166666,Male,Unmarried,TG,Oriental Switzerland,Swiss,Other,School,4156.77,gastronomy,,100,0,3.5,-.23394001,0,31oct2015,15oct2016,2
562,58.25,Male,Married,OW,Central Switzerland,Swiss,German,University,10500,sales,Managerial role,100,0,.80000001,.30241999,0,01may2011,05feb2012,16
562,62.166668,Male,Married,OW,Central Switzerland,Swiss,German,University,10500,sales,Managerial role,74.240097,0,.80000001,1.42932,0,04apr2015,22jan2016,15
564,51.75,Male,Married,LU,Central Switzerland,Swiss,German,,5933.7002,informatics,Specialist role,93.506836,0,1.9,1.14118,,17jul2015,04nov2015,1
564,47.333332,Male,Married,LU,Central Switzerland,Swiss,German,,6057,informatics,Specialist role,100,0,1.8,.60433,,21feb2011,30apr2011,2
567,44.666668,Male,Married,BE,Mittelland,Swiss,Other,Specialized,6667,sales,Specialist role,100,0,2,1.24907,0,17jan2011,31aug2011,13
567,48.75,Male,Married,BE,Mittelland,Swiss,Other,Specialized,5031.314,gastronomy,Specialist role,95.690018,0,3.5,.48105001,1,02feb2015,16aug2015,12
574,57.833332,Male,Married,AG,North-Western Switzerland,Swiss,Other,Specialized,8953,management & hr,Specialist role,100,0,2.5999999,.75863999,0,01jul2011,29jul2011,17
574,61.416668,Male,Married,AG,North-Western Switzerland,Swiss,Other,Specialized,8994.0107,management & hr,Specialist role,100,0,1.8,1.26635,0,03feb2015,17mar2015,17
600,29.166666,Male,Unmarried,ZG,Central Switzerland,Swiss,Other,University,4298.5908,construction,,100,1,2.0999999,1.32221,0,11jun2015,04nov2015,14
600,24.75,Male,Unmarried,ZG,Central Switzerland,Swiss,Other,University,4797,informatics,Specialist role,100,0,1.9,-.89851999,0,03jan2011,30apr2011,15
612,37,Male,Unmarried,UR,Central Switzerland,Swiss,French,University,2065.3037,social occupations,Specialist role,100,0,1,2.3784001,0,14jun2015,15aug2015,17
612,33.083332,Male,Unmarried,UR,Central Switzerland,Swiss,French,University,3320,social occupations,Specialist role,100,0,1.2,3.71275,0,01jul2011,31jul2011,17
634,24.5,Male,Married,LU,Central Switzerland,Swiss,German,Apprenticeship or matura,3887.385,construction,Specialist role,82.170616,0,1.9,1.14118,0,20jul2015,19jan2016,12
634,20.583334,Male,Unmarried,LU,Central Switzerland,Swiss,German,Apprenticeship or matura,3585,others (skilled),Specialist role,99.800003,0,1.8,.60433,0,18aug2011,31jan2012,13
640,40.166668,Male,Married,ZG,Central Switzerland,Swiss,German,Apprenticeship or matura,7138.7412,informatics,Specialist role,78.167816,0,2.0999999,1.32221,0,05nov2015,02jan2016,0
646,34,Male,Married,ZG,Central Switzerland,Swiss,German,Apprenticeship or matura,7044,"production (blue collar, incl cars)",,100,1,1.9,-.89851999,0,08may2011,01nov2011,16
646,38.25,Male,Married,ZG,Central Switzerland,Swiss,German,Apprenticeship or matura,6908.4116,"production (blue collar, incl cars)",,100,1,2.0999999,1.32221,0,06aug2015,20feb2016,16
662,41.5,Male,Unmarried,GL,Oriental Switzerland,Swiss,German,School,5157.5952,raw material preparation,,100,0,2,.20322999,0,19jun2015,24jan2016,11
662,37.333332,Male,Unmarried,GL,Oriental Switzerland,Swiss,German,School,5384,raw material preparation,,100,0,1.9,1.89253,0,06apr2011,30sep2011,12
681,45.25,Male,Unmarried,NE,Mittelland,Swiss,Other,Apprenticeship or matura,1768.1771,"tourism,transport,communication",Specialist role,47.933422,0,5,3.2692299,1,07feb2015,09sep2016,2
694,53,Male,Married,FR,Mittelland,Swiss,Other,Apprenticeship or matura,6267,electro & watches,Specialist role,100,0,2.0999999,.53127998,0,01jul2011,19sep2011,17
697,52.833332,Male,Unmarried,GE,Lake Geneva,Swiss,French,Apprenticeship or matura,9940,informatics,Specialist role,100,0,5.5999999,-.25812,0,01nov2011,06sep2013,14
697,56.083332,Male,Unmarried,GE,Lake Geneva,Swiss,French,Apprenticeship or matura,7458.1069,informatics,Specialist role,85.380943,0,5.0999999,-1.26754,2,17feb2015,16jun2016,12
703,29.416666,Male,Unmarried,BE,Mittelland,Swiss,German,Apprenticeship or matura,1697.8807,"marketing, pr & print",Specialist role,77.903831,0,3.5,.48105001,0,04feb2015,07jan2017,17
703,26.25,Male,Unmarried,BE,Mittelland,Swiss,German,Apprenticeship or matura,2314,"marketing, pr & print",Specialist role,100,0,2,1.24907,0,01dec2011,16oct2013,19
706,33.916668,Male,Married,BL,North-Western Switzerland,Swiss,German,Apprenticeship or matura,5661.1938,sales,Specialist role,100,0,2.3,1.1521699,0,21apr2015,21nov2015,18
706,30.5,Male,Married,BL,North-Western Switzerland,Swiss,German,Apprenticeship or matura,4697,sales,,100,0,2.7,1.57066,0,30nov2011,17jun2012,19
732,27.333334,Male,Unmarried,SH,Oriental Switzerland,Swiss,German,,4020.5564,"production (blue collar, incl cars)",,90.49192,0,1.5,-.37757999,,11dec2015,06jan2016,13
732,23.083334,Male,Unmarried,SH,Oriental Switzerland,Swiss,German,,4550,"production (blue collar, incl cars)",Specialist role,100,0,1.4,1.1989501,,01sep2011,18sep2011,13
738,47.75,Male,Unmarried,BE,Mittelland,Swiss,French,Specialized,10000,sales,Specialist role,100,0,2,1.24907,0,07nov2011,30mar2012,0
738,51.666668,Male,Unmarried,BE,Mittelland,Swiss,French,Specialized,9038.5264,sales,Specialist role,100,0,3.5,.48105001,3,27oct2015,01apr2016,0
747,60.416668,Male,Unmarried,VD,Lake Geneva,Swiss,German,School,4590.4438,"tourism,transport,communication",Specialist role,90.472771,0,3.9000001,1.27924,1,13nov2015,27mar2016,5
747,56.5,Male,Unmarried,VD,Lake Geneva,Swiss,German,School,6387,"tourism,transport,communication",Specialist role,100,0,4.4000001,1.8381799,0,29dec2011,06mar2012,5
786,21.5,Male,Unmarried,UR,Central Switzerland,Swiss,French,Apprenticeship or matura,2353,health,Specialist role,88.25,0,1.2,3.71275,0,15aug2011,29feb2012,15
786,25.416666,Male,Unmarried,UR,Central Switzerland,Swiss,French,Apprenticeship or matura,1436.9479,health,Specialist role,90.367302,0,1,2.3784001,0,23jul2015,08feb2016,14
787,34.083332,Male,Unmarried,UR,Central Switzerland,Swiss,French,Apprenticeship or matura,4139,construction,Specialist role,91.120003,0,1.2,3.71275,0,17oct2011,03may2012,18
787,37.75,Male,Unmarried,UR,Central Switzerland,Swiss,French,Apprenticeship or matura,5993.5327,construction,,100,0,1,2.3784001,0,08jun2015,02feb2016,18
791,45.5,Male,Unmarried,GE,Lake Geneva,Swiss,French,Apprenticeship or matura,7092.9341,"production (blue collar, incl cars)",Specialist role,96.774109,1,5.0999999,-1.26754,2,24oct2015,10mar2016,0
791,41.166668,Male,Unmarried,GE,Lake Geneva,Swiss,French,Apprenticeship or matura,6167,"production (blue collar, incl cars)",Specialist role,100,1,5.5999999,-.25812,0,09jun2011,03oct2011,0
793,40.416668,Male,Unmarried,BS,North-Western Switzerland,Swiss,German,Apprenticeship or matura,5595.8237,construction,Specialist role,97.098991,0,2.5,1.86443,0,11oct2015,06dec2015,0
793,36.5,Male,Unmarried,BS,North-Western Switzerland,Swiss,German,Apprenticeship or matura,5915,construction,Specialist role,100,0,3.7,4.2624898,0,28nov2011,15jan2012,0
800,45.833332,Male,Married,ZG,Central Switzerland,Swiss,German,University,10500,security & law,Managerial role,100,0,1.9,-.89851999,0,05apr2011,01aug2011,16
800,49.916668,Male,Unmarried,ZG,Central Switzerland,Swiss,German,University,10234.268,security & law,Managerial role,100,0,2.0999999,1.32221,0,21may2015,22sep2015,16
814,52.833332,Male,Unmarried,ZG,Central Switzerland,Swiss,German,Apprenticeship or matura,10500,informatics,,100,0,1.9,-.89851999,0,03oct2011,19jun2012,3
814,56.25,Male,Unmarried,ZG,Central Switzerland,Swiss,German,Apprenticeship or matura,9766.7637,informatics,,100,0,2.0999999,1.32221,4,25mar2015,22dec2015,2
829,64,Male,Married,VD,Lake Geneva,Swiss,French,Apprenticeship or matura,5737,"banking, trust & insurance",Specialist role,100,0,4.4000001,1.8381799,0,27oct2011,11mar2012,19
837,51.166668,Male,Married,GR,Oriental Switzerland,Swiss,Italian,School,5515.79,construction,,100,1,1.6,.00288,1,28nov2015,09apr2016,0
863,39.333332,Male,Married,OW,Central Switzerland,Swiss,German,University,6825,security & law,Specialist role,60,0,.80000001,.30241999,0,01jul2011,30sep2011,0
863,43.583332,Male,Married,OW,Central Switzerland,Swiss,German,University,7779.8652,gastronomy,Specialist role,38.464859,0,.80000001,1.42932,0,15oct2015,19feb2016,0
866,35.5,Male,Unmarried,UR,Central Switzerland,Swiss,French,University,10500,office & admin,Managerial role,100,0,1.2,3.71275,0,22jul2011,23dec2011,0
866,39.25,Male,Unmarried,UR,Central Switzerland,Swiss,French,University,9765.3281,office & admin,Managerial role,100,0,1,2.3784001,0,22apr2015,02oct2015,0
878,27.25,Male,Married,GR,Oriental Switzerland,Swiss,Italian,School,4680.6431,construction,,100,1,1.6,.00288,0,05may2015,21oct2015,0
891,35.5,Male,Unmarried,BE,Mittelland,Swiss,Other,Apprenticeship or matura,3718.9248,electro & watches,Specialist role,100,0,3.5,.48105001,0,22may2015,20jul2015,0
891,31.5,Male,Unmarried,BE,Mittelland,Swiss,Other,Apprenticeship or matura,4716,electro & watches,Specialist role,100,0,2,1.24907,0,05may2011,15jun2011,0
904,23.333334,Male,Unmarried,BE,Mittelland,Swiss,Other,Apprenticeship or matura,3019.2803,"production (blue collar, incl cars)",Specialist role,100,0,3.5,.48105001,0,12nov2015,04aug2016,8
